SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
Seattle Waterfront - Ferry Terminal,LTEH02,47.6017,-122.339,Marine Intertidal,Central Puget Sound,POINT (-122.3389969 47.6016998)
Constellation Park,LSKS01,47.572,-122.414,Marine Intertidal,Central Puget Sound,POINT (-122.4140015 47.5719986)
East Passage,NSEX01,47.3586,-122.387,Marine Offshore,Central Puget Sound,POINT (-122.387001 47.3586006)
West Point Outfall,KSSK02,47.6606,-122.447,Marine Offshore,Central Puget Sound,POINT (-122.4469986 47.6605988)
Lake Sammamish State Park ,0615SB,47.5567,-122.0716,Swimming Beaches,Lake Sammamish,POINT (-122.071556 47.556667)
Swamp Creek mouth at Bothell Way NE,0470,47.7555,-122.2339,Streams and Rivers,Swamp,POINT (-122.2339444 47.75552778)
Lewis Creek mouth at 187th Ave SE,A617,47.5706,-122.0923,Streams and Rivers,Lewis,POINT (-122.0922778 47.57061111)
Andrews Bay Seward Park,0813SB,47.5514,-122.2578,Swimming Beaches,Lake Washington,POINT (-122.25775 47.55136)
Ravensdale mouth,LSIN9,47.3262,-122.0281,Streams and Rivers,Ravensdale,POINT (-122.0281111 47.32622222)
Juanita Beach ,0806SB,47.7037,-122.2149,Swimming Beaches,Lake Washington,POINT (-122.21491 47.703724)
Duwamish Head,LSFX01,47.5987,-122.3879,Marine Intertidal,Central Puget Sound,POINT (-122.3879056 47.59870806)
Tramp Harbor,MSSM05,47.4133,-122.437,Marine Intertidal,Central Puget Sound,POINT (-122.4369965 47.4132996)
Lake Sammamish near Pine Lake Creek,M621,47.6012,-122.082,Large Lakes,Lake Sammamish,POINT (-122.08202 47.601192)
Bear Creek at NE 133rd St,J484,47.7177,-122.0771,Streams and Rivers,Bear,POINT (-122.0770833 47.71772222)
Carkeek Outfall,CK200P,47.7127,-122.388,Marine Offshore,Central Puget Sound,POINT (-122.3880005 47.7126999)
Lake Washington Yarrow Bay,0814,47.6534,-122.2113,Large Lakes,Lake Washington,POINT (-122.21125 47.65342)
Fauntleroy Cove,LSVV01,47.5248,-122.398,Marine Offshore,Central Puget Sound,POINT (-122.3980026 47.5247993)
South Plant Outfall South,RT625SP,47.5992,-122.4275,Marine Offshore,Central Puget Sound,POINT (-122.4274583 47.59922222)
Evans Creek at NE 50th St,S484,47.6524,-122.0514,Streams and Rivers,Evans,POINT (-122.0514444 47.65244444)
Echo Lake Park Swim Beach on NE Shore,A764SB,47.7728,-122.3413,Swimming Beaches,Echo Lake,POINT (-122.34131 47.772804)
Lake Sammamish YSI Profiler Buoy,SAMMBUOY,47.5808,-122.0902,Large Lakes,Lake Sammamish,POINT (-122.09017 47.580776)
Sammamish River mouth at 68th Ave NE,0450,47.7544,-122.2499,Streams and Rivers,Sammamish,POINT (-122.2499167 47.75444444)
McAleer at Bothell Way NE,A432,47.7519,-122.2813,Streams and Rivers,McAleer,POINT (-122.2812778 47.75194722)
Lake Washington Meydenbauer Bay,0834,47.6103,-122.2119,Large Lakes,Lake Washington,POINT (-122.211914 47.61025)
Crisp Creek at SE 348th St above hatchery intake,FF321,47.4857,-122.1023,Streams and Rivers,Crisp,POINT (-122.1022778 47.48569444)
Point Williams Buoy,PTWILLBUOY,47.5372,-122.4061,Marine Offshore,Central Puget Sound,POINT (-122.406117 47.5371639)
Lake Washington off Webster Point,0544,47.6467,-122.276,Large Lakes,Lake Washington,POINT (-122.27599 47.64668)
Eden Creek mouth at E Lake Sammamish Pkwy,A690,47.6155,-122.0682,Streams and Rivers,Eden,POINT (-122.0681667 47.61547222)
Lake Washington Madison Park,0852,47.6365,-122.2687,Large Lakes,Lake Washington,POINT (-122.26867 47.636497)
